"Front","Back","Japanese","Hiragana","English","Example_JP","Example_Hiragana","Example_EN"
"運用（うんよう）","operations<br><b>Example</b>: モデルを運用する。 / もでるをうんようする。 / Operate the model.","運用","うんよう","operations","モデルを運用する。","もでるをうんようする。","Operate the model."
"本番（ほんばん）","production<br><b>Example</b>: 本番にデプロイする。 / ほんばんにでぷろいする。 / Deploy to production.","本番","ほんばん","production","本番にデプロイする。","ほんばんにでぷろいする。","Deploy to production."
"検証環境（けんしょうかんきょう）","staging/test environment<br><b>Example</b>: 検証環境で確認する。 / けんしょうかんきょうでかくにんする。 / Verify in staging.","検証環境","けんしょうかんきょう","staging/test environment","検証環境で確認する。","けんしょうかんきょうでかくにんする。","Verify in staging."
"デプロイ（でぷろい）","deploy<br><b>Example</b>: 今日デプロイする。 / きょうでぷろいする。 / Deploy today.","デプロイ","でぷろい","deploy","今日デプロイする。","きょうでぷろいする。","Deploy today."
"ロールバック（ろーるばっく）","rollback<br><b>Example</b>: 問題があればロールバックする。 / もんだいがあればろーるばっくする。 / Roll back if needed.","ロールバック","ろーるばっく","rollback","問題があればロールバックする。","もんだいがあればろーるばっくする。","Roll back if needed."
"監視（かんし）","monitoring<br><b>Example</b>: レイテンシを監視する。 / れいてんしをかんしする。 / Monitor latency.","監視","かんし","monitoring","レイテンシを監視する。","れいてんしをかんしする。","Monitor latency."
"アラート（あらーと）","alert<br><b>Example</b>: アラートが鳴った。 / あらーとがなった。 / An alert fired.","アラート","あらーと","alert","アラートが鳴った。","あらーとがなった。","An alert fired."
"ログ（ろぐ）","log<br><b>Example</b>: ログを確認する。 / ろぐをかくにんする。 / Check logs.","ログ","ろぐ","log","ログを確認する。","ろぐをかくにんする。","Check logs."
"障害（しょうがい）","incident / outage<br><b>Example</b>: 障害の原因を特定する。 / しょうがいのげんいんをとくていする。 / Identify the incident cause.","障害","しょうがい","incident / outage","障害の原因を特定する。","しょうがいのげんいんをとくていする。","Identify the incident cause."
"対応（たいおう）","response / handling<br><b>Example</b>: すぐに対応する。 / すぐにたいおうする。 / Respond immediately.","対応","たいおう","response / handling","すぐに対応する。","すぐにたいおうする。","Respond immediately."
"影響範囲（えいきょうはんい）","impact scope / blast radius<br><b>Example</b>: 影響範囲を確認する。 / えいきょうはんいをかくにんする。 / Check impact scope.","影響範囲","えいきょうはんい","impact scope / blast radius","影響範囲を確認する。","えいきょうはんいをかくにんする。","Check impact scope."
"再現（さいげん）","reproduce<br><b>Example</b>: バグを再現できた。 / ばぐをさいげんできた。 / Reproduced the bug.","再現","さいげん","reproduce","バグを再現できた。","ばぐをさいげんできた。","Reproduced the bug."
"切り分け（きりわけ）","triage / isolate<br><b>Example</b>: 原因を切り分ける。 / げんいんをきりわける。 / Isolate the root cause.","切り分け","きりわけ","triage / isolate","原因を切り分ける。","げんいんをきりわける。","Isolate the root cause."
"GPU（じーぴーゆー）","GPU<br><b>Example</b>: GPUで学習を高速化する。 / じーぴーゆーでがくしゅうをこうそくかする。 / Speed up training with GPUs.","GPU","じーぴーゆー","GPU","GPUで学習を高速化する。","じーぴーゆーでがくしゅうをこうそくかする。","Speed up training with GPUs."
"API（えーぴーあい）","API<br><b>Example</b>: 推論APIを公開する。 / すいろんえーぴーあいをこうかいする。 / Expose an inference API.","API","えーぴーあい","API","推論APIを公開する。","すいろんえーぴーあいをこうかいする。","Expose an inference API."
