"Front","Back","Japanese","Hiragana","English","Example_JP","Example_Hiragana","Example_EN"
"画像処理（がぞうしょり）","image processing<br><b>Example</b>: 画像処理のパイプラインを作る。 / がぞうしょりのぱいぷらいんをつくる。 / Build an image-processing pipeline.","画像処理","がぞうしょり","image processing","画像処理のパイプラインを作る。","がぞうしょりのぱいぷらいんをつくる。","Build an image-processing pipeline."
"画像認識（がぞうにんしき）","image recognition<br><b>Example</b>: 画像認識モデルを評価する。 / がぞうにんしきもでるをひょうかする。 / Evaluate an image recognition model.","画像認識","がぞうにんしき","image recognition","画像認識モデルを評価する。","がぞうにんしきもでるをひょうかする。","Evaluate an image recognition model."
"物体検出（ぶったいけんしゅつ）","object detection<br><b>Example</b>: 物体検出の精度を改善する。 / ぶったいけんしゅつのせいどをかいぜんする。 / Improve detection accuracy.","物体検出","ぶったいけんしゅつ","object detection","物体検出の精度を改善する。","ぶったいけんしゅつのせいどをかいぜんする。","Improve detection accuracy."
"セグメンテーション（せぐめんてーしょん）","segmentation<br><b>Example</b>: セグメンテーションを導入する。 / せぐめんてーしょんをどうにゅうする。 / Introduce segmentation.","セグメンテーション","せぐめんてーしょん","segmentation","セグメンテーションを導入する。","せぐめんてーしょんをどうにゅうする。","Introduce segmentation."
"インスタンス分割（いんすたんすぶんかつ）","instance segmentation<br><b>Example</b>: インスタンス分割で個体を分ける。 / いんすたんすぶんかつでこたいをわける。 / Separate instances with instance segmentation.","インスタンス分割","いんすたんすぶんかつ","instance segmentation","インスタンス分割で個体を分ける。","いんすたんすぶんかつでこたいをわける。","Separate instances with instance segmentation."
"画像分類（がぞうぶんるい）","image classification<br><b>Example</b>: 画像分類のベースラインを作る。 / がぞうぶんるいのべーすらいんをつくる。 / Build an image classification baseline.","画像分類","がぞうぶんるい","image classification","画像分類のベースラインを作る。","がぞうぶんるいのべーすらいんをつくる。","Build an image classification baseline."
"アノテーション（あのてーしょん）","annotation<br><b>Example</b>: データをアノテーションする。 / でーたをあのてーしょんする。 / Annotate the data.","アノテーション","あのてーしょん","annotation","データをアノテーションする。","でーたをあのてーしょんする。","Annotate the data."
"バウンディングボックス（ばうんでぃんぐぼっくす）","bounding box<br><b>Example</b>: バウンディングボックスを修正する。 / ばうんでぃんぐぼっくすをしゅうせいする。 / Fix the bounding boxes.","バウンディングボックス","ばうんでぃんぐぼっくす","bounding box","バウンディングボックスを修正する。","ばうんでぃんぐぼっくすをしゅうせいする。","Fix the bounding boxes."
"IoU（あいおーゆー）","intersection over union (IoU)<br><b>Example</b>: IoUの閾値を上げる。 / あいおーゆーのしきいちをあげる。 / Raise the IoU threshold.","IoU","あいおーゆー","intersection over union (IoU)","IoUの閾値を上げる。","あいおーゆーのしきいちをあげる。","Raise the IoU threshold."
"mAP（えむえーぴー）","mean average precision (mAP)<br><b>Example</b>: mAPでモデルを比較する。 / えむえーぴーでもでるをひかくする。 / Compare models by mAP.","mAP","えむえーぴー","mean average precision (mAP)","mAPでモデルを比較する。","えむえーぴーでもでるをひかくする。","Compare models by mAP."
"誤検出（ごけんしゅつ）","false positive detection<br><b>Example</b>: 誤検出が増えた。 / ごけんしゅつがふえた。 / False positives increased.","誤検出","ごけんしゅつ","false positive detection","誤検出が増えた。","ごけんしゅつがふえた。","False positives increased."
"検出漏れ（けんしゅつもれ）","missed detection / false negative<br><b>Example</b>: 検出漏れを減らす。 / けんしゅつもれをへらす。 / Reduce misses.","検出漏れ","けんしゅつもれ","missed detection / false negative","検出漏れを減らす。","けんしゅつもれをへらす。","Reduce misses."
"データ拡張（でーたかくちょう）","data augmentation<br><b>Example</b>: データ拡張で汎化を上げる。 / でーたかくちょうではんかをあげる。 / Improve generalization via augmentation.","データ拡張","でーたかくちょう","data augmentation","データ拡張で汎化を上げる。","でーたかくちょうではんかをあげる。","Improve generalization via augmentation."
"回転（かいてん）","rotation<br><b>Example</b>: 回転の拡張を入れる。 / かいてんのかくちょうをいれる。 / Add rotation augmentation.","回転","かいてん","rotation","回転の拡張を入れる。","かいてんのかくちょうをいれる。","Add rotation augmentation."
