"Front","Back","Japanese","Hiragana","English","Example_JP","Example_Hiragana","Example_EN"
"共有します（きょうゆうします）","I’ll share<br><b>Example</b>: 資料を共有します。 / しりょうをきょうゆうします。 / I’ll share the materials.","共有します","きょうゆうします","I’ll share","資料を共有します。","しりょうをきょうゆうします。","I’ll share the materials."
"確認します（かくにんします）","I’ll check / confirm<br><b>Example</b>: 仕様を確認します。 / しようをかくにんします。 / I’ll confirm the spec.","確認します","かくにんします","I’ll check / confirm","仕様を確認します。","しようをかくにんします。","I’ll confirm the spec."
"相談させてください（そうだんさせてください）","Let me consult / discuss<br><b>Example</b>: この点を相談させてください。 / このてんをそうだんさせてください。 / Let me discuss this point with you.","相談させてください","そうだんさせてください","Let me consult / discuss","この点を相談させてください。","このてんをそうだんさせてください。","Let me discuss this point with you."
"念のため（ねんのため）","just in case<br><b>Example</b>: 念のためログを見ます。 / ねんのためろぐをみます。 / I’ll check logs just in case.","念のため","ねんのため","just in case","念のためログを見ます。","ねんのためろぐをみます。","I’ll check logs just in case."
"結論から言うと（けつろんからいうと）","to start with the conclusion<br><b>Example</b>: 結論から言うと、延期です。 / けつろんからいうと、えんきです。 / Bottom line: we delay.","結論から言うと","けつろんからいうと","to start with the conclusion","結論から言うと、延期です。","けつろんからいうと、えんきです。","Bottom line: we delay."
"〜でよろしいでしょうか（〜でよろしいでしょうか）","Would it be okay if…?<br><b>Example</b>: この方針でよろしいでしょうか。 / このほうしんでよろしいでしょうか。 / Is this approach acceptable?","〜でよろしいでしょうか","〜でよろしいでしょうか","Would it be okay if…?","この方針でよろしいでしょうか。","このほうしんでよろしいでしょうか。","Is this approach acceptable?"
"〜という認識です（〜というにんしきです）","My understanding is…<br><b>Example</b>: 現状はこの認識です。 / げんじょうはこのにんしきです。 / That’s my understanding of the current state.","〜という認識です","〜というにんしきです","My understanding is…","現状はこの認識です。","げんじょうはこのにんしきです。","That’s my understanding of the current state."
"認識合わせ（にんしきあわせ）","alignment (on understanding)<br><b>Example</b>: 認識合わせをしたいです。 / にんしきあわせをしたいです。 / I want to align understanding.","認識合わせ","にんしきあわせ","alignment (on understanding)","認識合わせをしたいです。","にんしきあわせをしたいです。","I want to align understanding."
"方向性（ほうこうせい）","direction<br><b>Example</b>: 方向性を決めましょう。 / ほうこうせいをきめましょう。 / Let’s decide the direction.","方向性","ほうこうせい","direction","方向性を決めましょう。","ほうこうせいをきめましょう。","Let’s decide the direction."
"方針（ほうしん）","approach / policy<br><b>Example</b>: 方針を共有します。 / ほうしんをきょうゆうします。 / I’ll share the approach.","方針","ほうしん","approach / policy","方針を共有します。","ほうしんをきょうゆうします。","I’ll share the approach."
"優先度（ゆうせんど）","priority<br><b>Example</b>: 優先度を上げます。 / ゆうせんどをあげます。 / We’ll raise the priority.","優先度","ゆうせんど","priority","優先度を上げます。","ゆうせんどをあげます。","We’ll raise the priority."
"いったん（いったん）","for now / temporarily<br><b>Example</b>: いったんこの案で進めます。 / いったんこのあんですすめます。 / For now, we’ll proceed with this plan.","いったん","いったん","for now / temporarily","いったんこの案で進めます。","いったんこのあんですすめます。","For now, we’ll proceed with this plan."
"差し戻し（さしもどし）","send back for rework<br><b>Example</b>: このPRは差し戻しです。 / このぴーあーるはさしもどしです。 / This PR needs rework.","差し戻し","さしもどし","send back for rework","このPRは差し戻しです。","このぴーあーるはさしもどしです。","This PR needs rework."
"追加で（ついかで）","additionally<br><b>Example</b>: 追加で検証します。 / ついかでけんしょうします。 / We’ll validate additionally.","追加で","ついかで","additionally","追加で検証します。","ついかでけんしょうします。","We’ll validate additionally."
"影響ありますか（えいきょうありますか）","Any impact?<br><b>Example</b>: 既存機能に影響ありますか。 / きぞんきのうにえいきょうありますか。 / Any impact on existing features?","影響ありますか","えいきょうありますか","Any impact?","既存機能に影響ありますか。","きぞんきのうにえいきょうありますか。","Any impact on existing features?"
