"Deck","Japanese","Example_JP","Example_Hiragana","Example_EN"
"01_core_ml_concepts","機械学習","機械学習をつかってよそくします。","","We'll use machine learning to make predictions."
"01_core_ml_concepts","モデル","このモデルでてすとします。","","We'll test with this model."
"01_core_ml_concepts","学習","でーたで学習します。","","We'll train on the data."
"01_core_ml_concepts","推論","ほんばんでは推論をうごかします。","","In production, we run inference."
"01_core_ml_concepts","予測","このもでるで予測します。","","We'll make a prediction with this model."
"01_core_ml_concepts","特徴量","特徴量をえらびます。","","We'll select features."
"01_core_ml_concepts","ラベル","でーたにラベルをつけます。","","We'll label the data."
"01_core_ml_concepts","教師あり学習","教師あり学習でぶんるいします。","","We'll do classification with supervised learning."
"01_core_ml_concepts","教師なし学習","教師なし学習でぱたーんをさがします。","","We'll look for patterns with unsupervised learning."
"01_core_ml_concepts","強化学習","強化学習でえーじぇんとをがくしゅうさせます。","","We'll train an agent with reinforcement learning."
"01_core_ml_concepts","分類","このでーたを分類します。","","We'll classify this data."
"01_core_ml_concepts","回帰","すうちを回帰でよそくします。","","We'll predict a number with regression."
"01_core_ml_concepts","クラスタリング","ゆーざーをクラスタリングします。","","We'll cluster users."
"01_core_ml_concepts","評価","てすとでーたで評価します。","","We'll evaluate on test data."
"01_core_ml_concepts","精度","精度をはかります。","","We'll measure accuracy."
"01_core_ml_concepts","損失関数","損失関数をかえます。","","We'll change the loss function."
"01_core_ml_concepts","最適化","最適化でぱらめーたをこうしんします。","","Optimization updates the parameters."
"01_core_ml_concepts","ハイパーパラメータ","ハイパーパラメータをちょうせいします。","","We'll tune hyperparameters."
"01_core_ml_concepts","学習率","学習率をちょうせいします。","","We'll tune the learning rate."
"01_core_ml_concepts","収束","がくしゅうが収束しません。","","Training isn't converging."

"02_deep_learning_nn","深層学習","深層学習でもでるをつくります。","","We'll build a deep learning model."
"02_deep_learning_nn","ニューラルネットワーク","ニューラルネットワークをがくしゅうさせます。","","We'll train a neural network."
"02_deep_learning_nn","層","層をふやします。","","We'll add more layers."
"02_deep_learning_nn","パラメータ","パラメータをほぞんします。","","We'll save the parameters."
"02_deep_learning_nn","重み","重みをしょきかします。","","We'll initialize the weights."
"02_deep_learning_nn","バイアス","バイアスをそうにいれます。","","We'll add a bias term to the layer."
"02_deep_learning_nn","活性化関数","活性化関数をれるーにします。","","We'll set the activation function to ReLU."
"02_deep_learning_nn","勾配","勾配をくりっぷします。","","We'll clip the gradients."
"02_deep_learning_nn","勾配降下法","勾配降下法でさいてきかします。","","We'll optimize with gradient descent."
"02_deep_learning_nn","ミニバッチ","ミニバッチでがくしゅうします。","","We'll train with mini-batches."
"02_deep_learning_nn","エポック","エポックを10まわします。","","We'll run 10 epochs."
"02_deep_learning_nn","正則化","正則化をいれます。","","We'll add regularization."
"02_deep_learning_nn","ドロップアウト","ドロップアウトをいれます。","","We'll add dropout."
"02_deep_learning_nn","バッチ正規化","バッチ正規化をいれます。","","We'll add batch normalization."
"02_deep_learning_nn","過学習","このもでるは過学習しています。","","This model is overfitting."
"02_deep_learning_nn","汎化","汎化せいのうをみます。","","We'll check generalization performance."
"02_deep_learning_nn","事前学習","事前学習ずみのもでるをつかいます。","","We'll use a pretrained model."
"02_deep_learning_nn","微調整","このもでるを微調整します。","","We'll fine-tune this model."
"02_deep_learning_nn","転移学習","転移学習をつかいます。","","We'll use transfer learning."
"02_deep_learning_nn","早期終了","早期終了をいれます。","","We'll add early stopping."

"03_nlp_llm","自然言語処理","自然言語処理でめーるをぶんるいします。","","We'll classify emails with NLP."
"03_nlp_llm","トークン","トークンがたりません。","","We're short on tokens."
"03_nlp_llm","トークナイザ","トークナイザをそろえます。","","We'll align tokenizers."
"03_nlp_llm","語彙","語彙をそろえます。","","We'll align the vocabulary."
"03_nlp_llm","埋め込み","埋め込みをさくせいします。","","We'll create embeddings."
"03_nlp_llm","ベクトル","ベクトルでひかくします。","","We'll compare using vectors."
"03_nlp_llm","類似度","類似度でならべます。","","We'll sort by similarity."
"03_nlp_llm","ベクトル検索","ベクトル検索でにたぶんしょうをさがします。","","We'll find similar texts with vector search."
"03_nlp_llm","検索拡張生成","検索拡張生成でこんきょをつけます。","","We'll add grounding with RAG."
"03_nlp_llm","プロンプト","プロンプトをみなおします。","","We'll revise the prompt."
"03_nlp_llm","指示","指示をみじかくします。","","We'll keep the instruction short."
"03_nlp_llm","文脈","文脈がたりません。","","There's not enough context."
"03_nlp_llm","生成","生成のしつをひょうかします。","","We'll evaluate generation quality."
"03_nlp_llm","出力","出力をろぐにのこします。","","We'll log the output."
"03_nlp_llm","幻覚","幻覚をへらしたいです。","","We want fewer hallucinations."
"03_nlp_llm","根拠","根拠をつけてこたえます。","","We'll answer with evidence."
"03_nlp_llm","要約","このぶんしょうを要約します。","","We'll summarize this text."
"03_nlp_llm","翻訳","えいごに翻訳します。","","We'll translate it into English."
"03_nlp_llm","意図","ゆーざーの意図をりかいします。","","We'll understand the user's intent."
"03_nlp_llm","評価データ","評価データをよういします。","","We'll prepare evaluation data."

"04_metrics_validation","検証","検証のためにてすとします。","","We'll run tests for validation."
"04_metrics_validation","交差検証","交差検証を5ふぉーるどでまわします。","","We'll run 5-fold cross-validation."
"04_metrics_validation","ベンチマーク","ベンチマークでくらべます。","","We'll compare against a benchmark."
"04_metrics_validation","指標","指標をきめます。","","We'll decide the metric."
"04_metrics_validation","適合率","適合率をあげます。","","We'll increase precision."
"04_metrics_validation","再現率","再現率をあげます。","","We'll increase recall."
"04_metrics_validation","F1スコア","F1スコアをみます。","","We'll look at the F1 score."
"04_metrics_validation","混同行列","混同行列をつくります。","","We'll build a confusion matrix."
"04_metrics_validation","誤差","誤差をへらします。","","We'll reduce the error."
"04_metrics_validation","ばらつき","ばらつきがおおいです。","","There's a lot of variance."
"04_metrics_validation","信頼区間","信頼区間をだします。","","We'll report a confidence interval."
"04_metrics_validation","閾値","閾値をちょうせいします。","","We'll tune the threshold."
"04_metrics_validation","データ漏洩","データ漏洩をふせぎます。","","We'll prevent data leakage."
"04_metrics_validation","再現性","再現性をたかめます。","","We'll improve reproducibility."

