"Front","Back","Japanese","Hiragana","English","Example_JP","Example_Hiragana","Example_EN"
"深層学習（しんそうがくしゅう）","deep learning<br><b>Example</b>: 深層学習で性能を上げる。 / しんそうがくしゅうでせいのうをあげる。 / Improve performance with DL.","深層学習","しんそうがくしゅう","deep learning","深層学習で性能を上げる。","しんそうがくしゅうでせいのうをあげる。","Improve performance with DL."
"ニューラルネットワーク（にゅーらるねっとわーく）","neural network<br><b>Example</b>: ニューラルネットワークを学習する。 / にゅーらるねっとわーくをがくしゅうする。 / Train a neural network.","ニューラルネットワーク","にゅーらるねっとわーく","neural network","ニューラルネットワークを学習する。","にゅーらるねっとわーくをがくしゅうする。","Train a neural network."
"層（そう）","layer<br><b>Example</b>: 層を増やす。 / そうをふやす。 / Add more layers.","層","そう","layer","層を増やす。","そうをふやす。","Add more layers."
"パラメータ（ぱらめーた）","parameter<br><b>Example</b>: パラメータ数が多い。 / ぱらめーたすうがおおい。 / There are many parameters.","パラメータ","ぱらめーた","parameter","パラメータ数が多い。","ぱらめーたすうがおおい。","There are many parameters."
"重み（おもみ）","weights<br><b>Example</b>: 重みを初期化する。 / おもみをしょきかする。 / Initialize weights.","重み","おもみ","weights","重みを初期化する。","おもみをしょきかする。","Initialize weights."
"バイアス（ばいあす）","bias term<br><b>Example</b>: バイアス項を含める。 / ばいあすこうをふくめる。 / Include a bias term.","バイアス","ばいあす","bias term","バイアス項を含める。","ばいあすこうをふくめる。","Include a bias term."
"活性化関数（かっせいかかんすう）","activation function<br><b>Example</b>: 活性化関数をReLUにする。 / かっせいかかんすうをりるーにする。 / Use ReLU as activation.","活性化関数","かっせいかかんすう","activation function","活性化関数をReLUにする。","かっせいかかんすうをりるーにする。","Use ReLU as activation."
"勾配（こうばい）","gradient<br><b>Example</b>: 勾配が消える。 / こうばいがきえる。 / Gradients vanish.","勾配","こうばい","gradient","勾配が消える。","こうばいがきえる。","Gradients vanish."
"勾配降下法（こうばいこうかほう）","gradient descent<br><b>Example</b>: 勾配降下法で更新する。 / こうばいこうかほうでこうしんする。 / Update via gradient descent.","勾配降下法","こうばいこうかほう","gradient descent","勾配降下法で更新する。","こうばいこうかほうでこうしんする。","Update via gradient descent."
"ミニバッチ（みにばっち）","mini-batch<br><b>Example</b>: ミニバッチで学習する。 / みにばっちでがくしゅうする。 / Train with mini-batches.","ミニバッチ","みにばっち","mini-batch","ミニバッチで学習する。","みにばっちでがくしゅうする。","Train with mini-batches."
"エポック（えぽっく）","epoch<br><b>Example</b>: 10エポック回す。 / じゅうえぽっくまわす。 / Run 10 epochs.","エポック","えぽっく","epoch","10エポック回す。","じゅうえぽっくまわす。","Run 10 epochs."
"正則化（せいそくか）","regularization<br><b>Example</b>: 正則化で過学習を抑える。 / せいそくかでかがくしゅうをおさえる。 / Reduce overfitting with regularization.","正則化","せいそくか","regularization","正則化で過学習を抑える。","せいそくかでかがくしゅうをおさえる。","Reduce overfitting with regularization."
"ドロップアウト（どろっぷあうと）","dropout<br><b>Example</b>: ドロップアウト率を上げる。 / どろっぷあうとりつをあげる。 / Increase dropout rate.","ドロップアウト","どろっぷあうと","dropout","ドロップアウト率を上げる。","どろっぷあうとりつをあげる。","Increase dropout rate."
"バッチ正規化（ばっちせいきか）","batch normalization<br><b>Example</b>: バッチ正規化を入れる。 / ばっちせいきかをいれる。 / Add batch norm.","バッチ正規化","ばっちせいきか","batch normalization","バッチ正規化を入れる。","ばっちせいきかをいれる。","Add batch norm."
"過学習（かがくしゅう）","overfitting<br><b>Example</b>: 過学習している可能性がある。 / かがくしゅうしているかのうせいがある。 / It may be overfitting.","過学習","かがくしゅう","overfitting","過学習している可能性がある。","かがくしゅうしているかのうせいがある。","It may be overfitting."
"汎化（はんか）","generalization<br><b>Example</b>: 汎化性能を確認する。 / はんかせいのうをかくにんする。 / Check generalization.","汎化","はんか","generalization","汎化性能を確認する。","はんかせいのうをかくにんする。","Check generalization."
"事前学習（じぜんがくしゅう）","pretraining<br><b>Example</b>: 大規模データで事前学習する。 / だいきぼでーたでじぜんがくしゅうする。 / Pretrain on large data.","事前学習","じぜんがくしゅう","pretraining","大規模データで事前学習する。","だいきぼでーたでじぜんがくしゅうする。","Pretrain on large data."
"微調整（びちょうせい）","fine-tuning<br><b>Example</b>: 日本語用に微調整する。 / にほんごようにびちょうせいする。 / Fine-tune for Japanese.","微調整","びちょうせい","fine-tuning","日本語用に微調整する。","にほんごようにびちょうせいする。","Fine-tune for Japanese."
"転移学習（てんいがくしゅう）","transfer learning<br><b>Example</b>: 転移学習で学習時間を短縮する。 / てんいがくしゅうでがくしゅうじかんをたんしゅくする。 / Reduce training time via transfer learning.","転移学習","てんいがくしゅう","transfer learning","転移学習で学習時間を短縮する。","てんいがくしゅうでがくしゅうじかんをたんしゅくする。","Reduce training time via transfer learning."
"早期終了（そうきしゅうりょう）","early stopping<br><b>Example</b>: 早期終了を有効にする。 / そうきしゅうりょうをゆうこうにする。 / Enable early stopping.","早期終了","そうきしゅうりょう","early stopping","早期終了を有効にする。","そうきしゅうりょうをゆうこうにする。","Enable early stopping."
