"Front","Back","Japanese","Hiragana","English","Example_JP","Example_Hiragana","Example_EN"
"データ（でーた）","data<br><b>Example</b>: データを収集する。 / でーたをしゅうしゅうする。 / Collect data.","データ","でーた","data","データを収集する。","でーたをしゅうしゅうする。","Collect data."
"データセット（でーたせっと）","dataset<br><b>Example</b>: データセットを分割する。 / でーたせっとをぶんかつする。 / Split the dataset.","データセット","でーたせっと","dataset","データセットを分割する。","でーたせっとをぶんかつする。","Split the dataset."
"前処理（まえしょり）","preprocessing<br><b>Example</b>: 前処理を統一する。 / まえしょりをとういつする。 / Standardize preprocessing.","前処理","まえしょり","preprocessing","前処理を統一する。","まえしょりをとういつする。","Standardize preprocessing."
"正規化（せいきか）","normalization<br><b>Example</b>: 入力を正規化する。 / にゅうりょくをせいきかする。 / Normalize inputs.","正規化","せいきか","normalization","入力を正規化する。","にゅうりょくをせいきかする。","Normalize inputs."
"欠損（けっそん）","missing values<br><b>Example</b>: 欠損を補完する。 / けっそんをほかんする。 / Impute missing values.","欠損","けっそん","missing values","欠損を補完する。","けっそんをほかんする。","Impute missing values."
"外れ値（はずれち）","outlier<br><b>Example</b>: 外れ値を除外する。 / はずれちをじょがいする。 / Remove outliers.","外れ値","はずれち","outlier","外れ値を除外する。","はずれちをじょがいする。","Remove outliers."
"サンプリング（さんぷりんぐ）","sampling<br><b>Example</b>: サンプリング方法を変える。 / さんぷりんぐほうほうをかえる。 / Change sampling method.","サンプリング","さんぷりんぐ","sampling","サンプリング方法を変える。","さんぷりんぐほうほうをかえる。","Change sampling method."
"分布（ぶんぷ）","distribution<br><b>Example</b>: 分布が変わった。 / ぶんぷがかわった。 / The distribution shifted.","分布","ぶんぷ","distribution","分布が変わった。","ぶんぷがかわった。","The distribution shifted."
"データドリフト（でーたどりふと）","data drift<br><b>Example</b>: データドリフトを検知する。 / でーたどりふとをけんちする。 / Detect data drift.","データドリフト","でーたどりふと","data drift","データドリフトを検知する。","でーたどりふとをけんちする。","Detect data drift."
"特徴量エンジニアリング（とくちょうりょうえんじにありんぐ）","feature engineering<br><b>Example</b>: 特徴量エンジニアリングを進める。 / とくちょうりょうえんじにありんぐをすすめる。 / Do feature engineering.","特徴量エンジニアリング","とくちょうりょうえんじにありんぐ","feature engineering","特徴量エンジニアリングを進める。","とくちょうりょうえんじにありんぐをすすめる。","Do feature engineering."
"実験（じっけん）","experiment<br><b>Example</b>: 実験条件をそろえる。 / じっけんじょうけんをそろえる。 / Keep conditions consistent.","実験","じっけん","experiment","実験条件をそろえる。","じっけんじょうけんをそろえる。","Keep conditions consistent."
"A/Bテスト（えーびーてすと）","A/B test<br><b>Example</b>: A/Bテストで効果を見る。 / えーびーてすとでこうかをみる。 / Measure impact via A/B test.","A/Bテスト","えーびーてすと","A/B test","A/Bテストで効果を見る。","えーびーてすとでこうかをみる。","Measure impact via A/B test."
"対照群（たいしょうぐん）","control group<br><b>Example</b>: 対照群と比較する。 / たいしょうぐんとひかくする。 / Compare to control.","対照群","たいしょうぐん","control group","対照群と比較する。","たいしょうぐんとひかくする。","Compare to control."
"変数（へんすう）","variable<br><b>Example</b>: 変数を固定する。 / へんすうをこていする。 / Hold variables constant.","変数","へんすう","variable","変数を固定する。","へんすうをこていする。","Hold variables constant."
"乱数シード（らんすうしーど）","random seed<br><b>Example</b>: 乱数シードを固定する。 / らんすうしーどをこていする。 / Fix the random seed.","乱数シード","らんすうしーど","random seed","乱数シードを固定する。","らんすうしーどをこていする。","Fix the random seed."
