"Front","Back","Japanese","Hiragana","English","Example_JP","Example_Hiragana","Example_EN"
"要件（ようけん）","requirements<br><b>Example</b>: 要件を整理する。 / ようけんをせいりする。 / Organize requirements.","要件","ようけん","requirements","要件を整理する。","ようけんをせいりする。","Organize requirements."
"仕様（しよう）","specification<br><b>Example</b>: 仕様を確認する。 / しようをかくにんする。 / Confirm the spec.","仕様","しよう","specification","仕様を確認する。","しようをかくにんする。","Confirm the spec."
"スコープ（すこーぷ）","scope<br><b>Example</b>: スコープを明確にする。 / すこーぷをめいかくにする。 / Clarify scope.","スコープ","すこーぷ","scope","スコープを明確にする。","すこーぷをめいかくにする。","Clarify scope."
"期限（きげん）","deadline<br><b>Example</b>: 期限までに出す。 / きげんまでにだす。 / Deliver by the deadline.","期限","きげん","deadline","期限までに出す。","きげんまでにだす。","Deliver by the deadline."
"優先度（ゆうせんど）","priority<br><b>Example</b>: 優先度を上げる。 / ゆうせんどをあげる。 / Raise priority.","優先度","ゆうせんど","priority","優先度を上げる。","ゆうせんどをあげる。","Raise priority."
"見積もり（みつもり）","estimate<br><b>Example</b>: 工数を見積もる。 / こうすうをみつもる。 / Estimate effort.","見積もり","みつもり","estimate","工数を見積もる。","こうすうをみつもる。","Estimate effort."
"進捗（しんちょく）","progress<br><b>Example</b>: 進捗を共有する。 / しんちょくをきょうゆうする。 / Share progress.","進捗","しんちょく","progress","進捗を共有する。","しんちょくをきょうゆうする。","Share progress."
"課題（かだい）","issue / challenge<br><b>Example</b>: 課題を洗い出す。 / かだいをあらいだす。 / List the issues.","課題","かだい","issue / challenge","課題を洗い出す。","かだいをあらいだす。","List the issues."
"方針（ほうしん）","policy / approach<br><b>Example</b>: 方針を決める。 / ほうしんをきめる。 / Decide the approach.","方針","ほうしん","policy / approach","方針を決める。","ほうしんをきめる。","Decide the approach."
"合意（ごうい）","agreement / alignment<br><b>Example</b>: 関係者と合意する。 / かんけいしゃとごういする。 / Align with stakeholders.","合意","ごうい","agreement / alignment","関係者と合意する。","かんけいしゃとごういする。","Align with stakeholders."
