"Front","Back","Japanese","Hiragana","English","Example_JP","Example_Hiragana","Example_EN"
"推薦（すいせん）","recommendation<br><b>Example</b>: 商品を推薦する。 / しょうひんをすいせんする。 / Recommend products.","推薦","すいせん","recommendation","商品を推薦する。","しょうひんをすいせんする。","Recommend products."
"レコメンド（れこめんど）","recommender (loanword)<br><b>Example</b>: レコメンドのCTRを上げる。 / れこめんどのしーてぃーあーるをあげる。 / Increase recommender CTR.","レコメンド","れこめんど","recommender (loanword)","レコメンドのCTRを上げる。","れこめんどのしーてぃーあーるをあげる。","Increase recommender CTR."
"ランキング（らんきんぐ）","ranking<br><b>Example</b>: ランキングを再計算する。 / らんきんぐをさいけいさんする。 / Recompute rankings.","ランキング","らんきんぐ","ranking","ランキングを再計算する。","らんきんぐをさいけいさんする。","Recompute rankings."
"検索（けんさく）","search<br><b>Example</b>: 検索結果を改善する。 / けんさくけっかをかいぜんする。 / Improve search results.","検索","けんさく","search","検索結果を改善する。","けんさくけっかをかいぜんする。","Improve search results."
"クエリ（くえり）","query<br><b>Example</b>: クエリを正規化する。 / くえりをせいきかする。 / Normalize the query.","クエリ","くえり","query","クエリを正規化する。","くえりをせいきかする。","Normalize the query."
"候補生成（こうほせいせい）","candidate generation<br><b>Example</b>: 候補生成を高速化する。 / こうほせいせいをこうそくかする。 / Speed up candidate generation.","候補生成","こうほせいせい","candidate generation","候補生成を高速化する。","こうほせいせいをこうそくかする。","Speed up candidate generation."
"再ランキング（さいらんきんぐ）","re-ranking<br><b>Example</b>: 再ランキングで精度を上げる。 / さいらんきんぐでせいどをあげる。 / Improve quality with reranking.","再ランキング","さいらんきんぐ","re-ranking","再ランキングで精度を上げる。","さいらんきんぐでせいどをあげる。","Improve quality with reranking."
"クリック率（くりっくりつ）","click-through rate (CTR)<br><b>Example</b>: クリック率が下がった。 / くりっくりつがさがった。 / CTR dropped.","クリック率","くりっくりつ","click-through rate (CTR)","クリック率が下がった。","くりっくりつがさがった。","CTR dropped."
"コンバージョン（こんばーじょん）","conversion<br><b>Example</b>: コンバージョンを増やす。 / こんばーじょんをふやす。 / Increase conversions.","コンバージョン","こんばーじょん","conversion","コンバージョンを増やす。","こんばーじょんをふやす。","Increase conversions."
"購入率（こうにゅうりつ）","purchase rate<br><b>Example</b>: 購入率を指標にする。 / こうにゅうりつをしひょうにする。 / Use purchase rate as a metric.","購入率","こうにゅうりつ","purchase rate","購入率を指標にする。","こうにゅうりつをしひょうにする。","Use purchase rate as a metric."
"滞在時間（たいざいじかん）","dwell time<br><b>Example</b>: 滞在時間が伸びた。 / たいざいじかんがのびた。 / Dwell time increased.","滞在時間","たいざいじかん","dwell time","滞在時間が伸びた。","たいざいじかんがのびた。","Dwell time increased."
"エンゲージメント（えんげーじめんと）","engagement<br><b>Example</b>: エンゲージメントが改善した。 / えんげーじめんとがかいぜんした。 / Engagement improved.","エンゲージメント","えんげーじめんと","engagement","エンゲージメントが改善した。","えんげーじめんとがかいぜんした。","Engagement improved."
"暗黙フィードバック（あんもくふぃーどばっく）","implicit feedback<br><b>Example</b>: 暗黙フィードバックを使う。 / あんもくふぃーどばっくをつかう。 / Use implicit feedback.","暗黙フィードバック","あんもくふぃーどばっく","implicit feedback","暗黙フィードバックを使う。","あんもくふぃーどばっくをつかう。","Use implicit feedback."
"明示フィードバック（めいじふぃーどばっく）","explicit feedback<br><b>Example</b>: 評価を明示フィードバックとして使う。 / ひょうかをめいじふぃーどばっくとしてつかう。 / Use ratings as explicit feedback.","明示フィードバック","めいじふぃーどばっく","explicit feedback","評価を明示フィードバックとして使う。","ひょうかをめいじふぃーどばっくとしてつかう。","Use ratings as explicit feedback."
"協調フィルタリング（きょうちょうふぃるたりんぐ）","collaborative filtering<br><b>Example</b>: 協調フィルタリングを試す。 / きょうちょうふぃるたりんぐをためす。 / Try collaborative filtering.","協調フィルタリング","きょうちょうふぃるたりんぐ","collaborative filtering","協調フィルタリングを試す。","きょうちょうふぃるたりんぐをためす。","Try collaborative filtering."
"行列分解（ぎょうれつぶんかい）","matrix factorization<br><b>Example</b>: 行列分解で潜在因子を学習する。 / ぎょうれつぶんかいでせんざいいんしをがくしゅうする。 / Learn latent factors via MF.","行列分解","ぎょうれつぶんかい","matrix factorization","行列分解で潜在因子を学習する。","ぎょうれつぶんかいでせんざいいんしをがくしゅうする。","Learn latent factors via MF."
"潜在因子（せんざいいんし）","latent factors<br><b>Example</b>: 潜在因子の次元を変える。 / せんざいいんしのじげんをかえる。 / Change latent dimension.","潜在因子","せんざいいんし","latent factors","潜在因子の次元を変える。","せんざいいんしのじげんをかえる。","Change latent dimension."
"コールドスタート（こーるどすたーと）","cold start<br><b>Example</b>: コールドスタート対策が必要。 / こーるどすたーとたいさくがひつよう。 / Need cold-start mitigation.","コールドスタート","こーるどすたーと","cold start","コールドスタート対策が必要。","こーるどすたーとたいさくがひつよう。","Need cold-start mitigation."
"多様性（たようせい）","diversity<br><b>Example</b>: 多様性を確保する。 / たようせいをかくほする。 / Ensure diversity.","多様性","たようせい","diversity","多様性を確保する。","たようせいをかくほする。","Ensure diversity."
"公平性（こうへいせい）","fairness<br><b>Example</b>: 公平性の指標を入れる。 / こうへいせいのしひょうをいれる。 / Add fairness metrics.","公平性","こうへいせい","fairness","公平性の指標を入れる。","こうへいせいのしひょうをいれる。","Add fairness metrics."
"オフライン評価（おふらいんひょうか）","offline evaluation<br><b>Example</b>: オフライン評価を先に行う。 / おふらいんひょうかをさきにおこなう。 / Do offline eval first.","オフライン評価","おふらいんひょうか","offline evaluation","オフライン評価を先に行う。","おふらいんひょうかをさきにおこなう。","Do offline eval first."
"オンライン評価（おんらいんひょうか）","online evaluation<br><b>Example</b>: オンライン評価はA/Bテストで行う。 / おんらいんひょうかはえーびーてすとでおこなう。 / Online eval via A/B test.","オンライン評価","おんらいんひょうか","online evaluation","オンライン評価はA/Bテストで行う。","おんらいんひょうかはえーびーてすとでおこなう。","Online eval via A/B test."
