"Front","Back","Japanese","Hiragana","English","Example_JP","Example_Hiragana","Example_EN"
"自然言語処理（しぜんげんごしょり）","natural language processing (NLP)<br><b>Example</b>: 自然言語処理のタスクを整理する。 / しぜんげんごしょりのたすくをせいりする。 / Organize NLP tasks.","自然言語処理","しぜんげんごしょり","natural language processing (NLP)","自然言語処理のタスクを整理する。","しぜんげんごしょりのたすくをせいりする。","Organize NLP tasks."
"トークン（とーくん）","token<br><b>Example</b>: トークン数を制限する。 / とーくんすうをせいげんする。 / Limit token count.","トークン","とーくん","token","トークン数を制限する。","とーくんすうをせいげんする。","Limit token count."
"トークナイザ（とーくないざ）","tokenizer<br><b>Example</b>: トークナイザを合わせる。 / とーくないざをあわせる。 / Align tokenizers.","トークナイザ","とーくないざ","tokenizer","トークナイザを合わせる。","とーくないざをあわせる。","Align tokenizers."
"語彙（ごい）","vocabulary<br><b>Example</b>: 語彙を拡張する。 / ごいをかくちょうする。 / Expand vocabulary.","語彙","ごい","vocabulary","語彙を拡張する。","ごいをかくちょうする。","Expand vocabulary."
"埋め込み（うめこみ）","embedding<br><b>Example</b>: 埋め込みを再計算する。 / うめこみをさいけいさんする。 / Recompute embeddings.","埋め込み","うめこみ","embedding","埋め込みを再計算する。","うめこみをさいけいさんする。","Recompute embeddings."
"ベクトル（べくとる）","vector<br><b>Example</b>: ベクトル検索を使う。 / べくとるけんさくをつかう。 / Use vector search.","ベクトル","べくとる","vector","ベクトル検索を使う。","べくとるけんさくをつかう。","Use vector search."
"類似度（るいじど）","similarity<br><b>Example</b>: 類似度で並べ替える。 / るいじどでならべかえる。 / Sort by similarity.","類似度","るいじど","similarity","類似度で並べ替える。","るいじどでならべかえる。","Sort by similarity."
"ベクトル検索（べくとるけんさく）","vector search<br><b>Example</b>: ベクトル検索の精度を測る。 / べくとるけんさくのせいどをはかる。 / Measure vector-search quality.","ベクトル検索","べくとるけんさく","vector search","ベクトル検索の精度を測る。","べくとるけんさくのせいどをはかる。","Measure vector-search quality."
"検索拡張生成（けんさくかくちょうせいせい）","retrieval-augmented generation (RAG)<br><b>Example</b>: 検索拡張生成で根拠を付ける。 / けんさくかくちょうせいせいでこんきょをつける。 / Add grounding with RAG.","検索拡張生成","けんさくかくちょうせいせい","retrieval-augmented generation (RAG)","検索拡張生成で根拠を付ける。","けんさくかくちょうせいせいでこんきょをつける。","Add grounding with RAG."
"プロンプト（ぷろんぷと）","prompt<br><b>Example</b>: プロンプトを短くする。 / ぷろんぷとをみじかくする。 / Shorten the prompt.","プロンプト","ぷろんぷと","prompt","プロンプトを短くする。","ぷろんぷとをみじかくする。","Shorten the prompt."
"指示（しじ）","instruction<br><b>Example</b>: 指示を明確に書く。 / しじをめいかくにかく。 / Write clear instructions.","指示","しじ","instruction","指示を明確に書く。","しじをめいかくにかく。","Write clear instructions."
"文脈（ぶんみゃく）","context<br><b>Example</b>: 文脈が足りない。 / ぶんみゃくがたりない。 / There isn’t enough context.","文脈","ぶんみゃく","context","文脈が足りない。","ぶんみゃくがたりない。","There isn’t enough context."
"生成（せいせい）","generation<br><b>Example</b>: 生成結果を比較する。 / せいせいけっかをひかくする。 / Compare generations.","生成","せいせい","generation","生成結果を比較する。","せいせいけっかをひかくする。","Compare generations."
"出力（しゅつりょく）","output<br><b>Example</b>: 出力形式を固定する。 / しゅつりょくけいしきをこていする。 / Fix the output format.","出力","しゅつりょく","output","出力形式を固定する。","しゅつりょくけいしきをこていする。","Fix the output format."
"幻覚（げんかく）","hallucination<br><b>Example</b>: 幻覚を減らしたい。 / げんかくをへらしたい。 / We want fewer hallucinations.","幻覚","げんかく","hallucination","幻覚を減らしたい。","げんかくをへらしたい。","We want fewer hallucinations."
"根拠（こんきょ）","evidence / grounding<br><b>Example</b>: 根拠の引用を付ける。 / こんきょのいんようをつける。 / Add cited evidence.","根拠","こんきょ","evidence / grounding","根拠の引用を付ける。","こんきょのいんようをつける。","Add cited evidence."
"要約（ようやく）","summarization<br><b>Example</b>: 文章を要約する。 / ぶんしょうをようやくする。 / Summarize the text.","要約","ようやく","summarization","文章を要約する。","ぶんしょうをようやくする。","Summarize the text."
"翻訳（ほんやく）","translation<br><b>Example</b>: 日本語に翻訳する。 / にほんごにほんやくする。 / Translate into Japanese.","翻訳","ほんやく","translation","日本語に翻訳する。","にほんごにほんやくする。","Translate into Japanese."
"意図（いと）","intent<br><b>Example</b>: ユーザーの意図を推定する。 / ゆーざーのいとをすいていする。 / Infer user intent.","意図","いと","intent","ユーザーの意図を推定する。","ゆーざーのいとをすいていする。","Infer user intent."
"評価データ（ひょうかでーた）","evaluation dataset<br><b>Example</b>: 評価データを更新する。 / ひょうかでーたをこうしんする。 / Update the eval set.","評価データ","ひょうかでーた","evaluation dataset","評価データを更新する。","ひょうかでーたをこうしんする。","Update the eval set."
