"Deck","Front","Back","Japanese","Hiragana","English","Example_JP","Example_Hiragana","Example_EN","Example2_JP","Example2_Hiragana","Example2_EN","Example3_JP","Example3_Hiragana","Example3_EN","Tags","Notes"
"01_core_ml_concepts","機械学習（きかいがくしゅう）","machine learning<br><b>Example</b>: 機械学習モデルを作る。 / きかいがくしゅうもでるをつくる。 / Build an ML model.","機械学習","きかいがくしゅう","machine learning","機械学習をつかってよそくします。","きかいがくしゅうをつかってよそくします。","We'll use machine learning to make predictions.","このたすくは機械学習でときます。","このたすくはきかいがくしゅうでときます。","We'll solve this task with machine learning.","機械学習のもでるをつくります。","きかいがくしゅうのもでるをつくります。","We'll build a machine-learning model.","01_core_ml_concepts",""
"01_core_ml_concepts","モデル（もでる）","model<br><b>Example</b>: モデルを更新する。 / もでるをこうしんする。 / Update the model.","モデル","もでる","model","このモデルでてすとします。","このもでるでてすとします。","We'll test with this model.","このモデルをがくしゅうします。","このもでるをがくしゅうします。","We'll train this model.","モデルをこうかんしてくらべます。","もでるをこうかんしてくらべます。","We'll swap the model and compare.","01_core_ml_concepts",""
"01_core_ml_concepts","学習（がくしゅう）","training/learning<br><b>Example</b>: データで学習する。 / でーたでがくしゅうする。 / Train on data.","学習","がくしゅう","training/learning","でーたで学習します。","でーたでがくしゅうします。","We'll train on the data.","まず学習をはじめます。","まずがくしゅうをはじめます。","We'll start training first.","学習がおわったらひょうかします。","がくしゅうがおわったらひょうかします。","After training we'll evaluate.","01_core_ml_concepts",""
"01_core_ml_concepts","推論（すいろん）","inference<br><b>Example</b>: 推論はAPIで提供する。 / すいろんはえーぴーあいでていきょうする。 / Serve inference via an API.","推論","すいろん","inference","ほんばんでは推論をうごかします。","ほんばんではすいろんをうごかします。","In production, we run inference.","ほんばんでは推論だけをうごかします。","ほんばんではすいろんだけをうごかします。","In production we'll run inference only.","推論のじかんをけいそくします。","すいろんのじかんをけいそくします。","We'll measure inference latency.","01_core_ml_concepts",""
"01_core_ml_concepts","予測（よそく）","prediction<br><b>Example</b>: 次の値を予測する。 / つぎのあたいをよそくする。 / Predict the next value.","予測","よそく","prediction","このもでるで予測します。","このもでるでよそくします。","We'll make a prediction with this model.","あしたのすうちを予測します。","あしたのすうちをよそくします。","We'll predict tomorrow's value.","この予測ははずれました。","このよそくははずれました。","This prediction was wrong.","01_core_ml_concepts",""
"01_core_ml_concepts","特徴量（とくちょうりょう）","feature<br><b>Example</b>: 特徴量を追加する。 / とくちょうりょうをついかする。 / Add a feature.","特徴量","とくちょうりょう","feature","特徴量をえらびます。","とくちょうりょうをえらびます。","We'll select features.","特徴量をついかします。","とくちょうりょうをついかします。","We'll add a feature.","ふような特徴量はけずります。","ふようなとくちょうりょうはけずります。","We'll drop unnecessary features.","01_core_ml_concepts",""
"01_core_ml_concepts","ラベル（らべる）","label<br><b>Example</b>: ラベルの品質を確認する。 / らべるのひんしつをかくにんする。 / Check label quality.","ラベル","らべる","label","でーたにラベルをつけます。","でーたにらべるをつけます。","We'll label the data.","ラベルをみなおします。","らべるをみなおします。","We'll review the labels.","ラベルのまちがいをなおします。","らべるのまちがいをなおします。","We'll fix label mistakes.","01_core_ml_concepts",""
"01_core_ml_concepts","教師あり学習（きょうしありがくしゅう）","supervised learning<br><b>Example</b>: 教師あり学習で分類する。 / きょうしありがくしゅうでぶんるいする。 / Classify with supervised learning.","教師あり学習","きょうしありがくしゅう","supervised learning","教師あり学習でぶんるいします。","きょうしありがくしゅうでぶんるいします。","We'll do classification with supervised learning.","このでーたは教師あり学習であつかえます。","このでーたはきょうしありがくしゅうであつかえます。","We can handle this data with supervised learning.","教師あり学習にはらべるがひつようです。","きょうしありがくしゅうにはらべるがひつようです。","Supervised learning needs labels.","01_core_ml_concepts",""
"01_core_ml_concepts","教師なし学習（きょうしなしがくしゅう）","unsupervised learning<br><b>Example</b>: 教師なし学習でクラスタリングする。 / きょうしなしがくしゅうでくらすたりんぐする。 / Cluster with unsupervised learning.","教師なし学習","きょうしなしがくしゅう","unsupervised learning","教師なし学習でぱたーんをさがします。","きょうしなしがくしゅうでぱたーんをさがします。","We'll look for patterns with unsupervised learning.","教師なし学習でくらすたをつくります。","きょうしなしがくしゅうでくらすたをつくります。","We'll create clusters with unsupervised learning.","教師なし学習でぱたーんをさがします。","きょうしなしがくしゅうでぱたーんをさがします。","We'll look for patterns with unsupervised learning.","01_core_ml_concepts",""
"01_core_ml_concepts","強化学習（きょうかがくしゅう）","reinforcement learning<br><b>Example</b>: 強化学習で方策を改善する。 / きょうかがくしゅうでほうさくをかいぜんする。 / Improve a policy with RL.","強化学習","きょうかがくしゅう","reinforcement learning","強化学習でえーじぇんとをがくしゅうさせます。","きょうかがくしゅうでえーじぇんとをがくしゅうさせます。","We'll train an agent with reinforcement learning.","しみゅれーたで強化学習をためします。","しみゅれーたできょうかがくしゅうをためします。","We'll try reinforcement learning in a simulator.","かんたんなかんきょうで強化学習をはじめます。","かんたんなかんきょうできょうかがくしゅうをはじめます。","We'll start reinforcement learning in a simple environment.","01_core_ml_concepts",""
"01_core_ml_concepts","分類（ぶんるい）","classification<br><b>Example</b>: 画像を分類する。 / がぞうをぶんるいする。 / Classify images.","分類","ぶんるい","classification","このでーたを分類します。","このでーたをぶんるいします。","We'll classify this data.","にゅーすを分類します。","にゅーすをぶんるいします。","We'll classify news articles.","ふたつのらべるに分類します。","ふたつのらべるにぶんるいします。","We'll classify into two labels.","01_core_ml_concepts",""
"01_core_ml_concepts","回帰（かいき）","regression<br><b>Example</b>: 価格を回帰で推定する。 / かかくをかいきですいていする。 / Estimate price via regression.","回帰","かいき","regression","すうちを回帰でよそくします。","すうちをかいきでよそくします。","We'll predict a number with regression.","すうちを回帰でよそくします。","すうちをかいきでよそくします。","We'll predict a number with regression.","回帰もでるをひょうかします。","かいきもでるをひょうかします。","We'll evaluate the regression model.","01_core_ml_concepts",""
"01_core_ml_concepts","クラスタリング（くらすたりんぐ）","clustering<br><b>Example</b>: ユーザーをクラスタリングする。 / ゆーざーをくらすたりんぐする。 / Cluster users.","クラスタリング","くらすたりんぐ","clustering","ゆーざーをクラスタリングします。","ゆーざーをくらすたりんぐします。","We'll cluster users.","ゆーざーをクラスタリングします。","ゆーざーをくらすたりんぐします。","We'll cluster users.","クラスタリングのけっかをかくにんします。","くらすたりんぐのけっかをかくにんします。","We'll review the clustering results.","01_core_ml_concepts",""
"01_core_ml_concepts","評価（ひょうか）","evaluation<br><b>Example</b>: 評価指標をそろえる。 / ひょうかしひょうをそろえる。 / Align evaluation metrics.","評価","ひょうか","evaluation","てすとでーたで評価します。","てすとでーたでひょうかします。","We'll evaluate on test data.","てすとでーたで評価します。","てすとでーたでひょうかします。","We'll evaluate on test data.","評価のけっかをれぽーとにまとめます。","ひょうかのけっかをれぽーとにまとめます。","We'll summarize the evaluation results.","01_core_ml_concepts",""
"01_core_ml_concepts","精度（せいど）","accuracy (general)<br><b>Example</b>: 精度が改善した。 / せいどがかいぜんした。 / Accuracy improved.","精度","せいど","accuracy (general)","精度をはかります。","せいどをはかります。","We'll measure accuracy.","精度がさがったりゆうをしらべます。","せいどがさがったりゆうをしらべます。","We'll investigate why accuracy dropped.","精度だけでなくさいげんりつもみます。","せいどだけでなくさいげんりつもみます。","We'll check recall too not only accuracy.","01_core_ml_concepts",""
