"Front","Back","Japanese","Hiragana","English","Example_JP","Example_Hiragana","Example_EN"
"セキュリティ（せきゅりてぃ）","security<br><b>Example</b>: セキュリティ要件を確認する。 / せきゅりてぃようけんをかくにんする。 / Confirm security requirements.","セキュリティ","せきゅりてぃ","security","セキュリティ要件を確認する。","せきゅりてぃようけんをかくにんする。","Confirm security requirements."
"脆弱性（ぜいじゃくせい）","vulnerability<br><b>Example</b>: 脆弱性を修正する。 / ぜいじゃくせいをしゅうせいする。 / Fix a vulnerability.","脆弱性","ぜいじゃくせい","vulnerability","脆弱性を修正する。","ぜいじゃくせいをしゅうせいする。","Fix a vulnerability."
"攻撃（こうげき）","attack<br><b>Example</b>: 攻撃を想定して設計する。 / こうげきをそうていしてせっけいする。 / Design with attacks in mind.","攻撃","こうげき","attack","攻撃を想定して設計する。","こうげきをそうていしてせっけいする。","Design with attacks in mind."
"侵入（しんにゅう）","intrusion<br><b>Example</b>: 不正侵入を検知する。 / ふせいしんにゅうをけんちする。 / Detect unauthorized intrusion.","侵入","しんにゅう","intrusion","不正侵入を検知する。","ふせいしんにゅうをけんちする。","Detect unauthorized intrusion."
"不正アクセス（ふせいあくせす）","unauthorized access<br><b>Example</b>: 不正アクセスを防ぐ。 / ふせいあくせすをふせぐ。 / Prevent unauthorized access.","不正アクセス","ふせいあくせす","unauthorized access","不正アクセスを防ぐ。","ふせいあくせすをふせぐ。","Prevent unauthorized access."
"認証（にんしょう）","authentication<br><b>Example</b>: 認証を強化する。 / にんしょうをきょうかする。 / Strengthen authentication.","認証","にんしょう","authentication","認証を強化する。","にんしょうをきょうかする。","Strengthen authentication."
"認可（にんか）","authorization<br><b>Example</b>: 認可の設定を見直す。 / にんかのせっていをみなおす。 / Review authorization settings.","認可","にんか","authorization","認可の設定を見直す。","にんかのせっていをみなおす。","Review authorization settings."
"アクセス制御（あくせすせいぎょ）","access control<br><b>Example</b>: アクセス制御を適用する。 / あくせすせいぎょをてきようする。 / Apply access control.","アクセス制御","あくせすせいぎょ","access control","アクセス制御を適用する。","あくせすせいぎょをてきようする。","Apply access control."
"権限（けんげん）","permissions / privilege<br><b>Example</b>: 権限を最小化する。 / けんげんをさいしょうかする。 / Minimize privileges.","権限","けんげん","permissions / privilege","権限を最小化する。","けんげんをさいしょうかする。","Minimize privileges."
"最小権限（さいしょうけんげん）","least privilege<br><b>Example</b>: 最小権限で運用する。 / さいしょうけんげんでうんようする。 / Operate with least privilege.","最小権限","さいしょうけんげん","least privilege","最小権限で運用する。","さいしょうけんげんでうんようする。","Operate with least privilege."
"暗号化（あんごうか）","encryption<br><b>Example</b>: 通信を暗号化する。 / つうしんをあんごうかする。 / Encrypt communication.","暗号化","あんごうか","encryption","通信を暗号化する。","つうしんをあんごうかする。","Encrypt communication."
"復号（ふくごう）","decryption<br><b>Example</b>: 復号鍵を安全に管理する。 / ふくごうかぎをあんぜんにかんりする。 / Manage decryption keys safely.","復号","ふくごう","decryption","復号鍵を安全に管理する。","ふくごうかぎをあんぜんにかんりする。","Manage decryption keys safely."
"鍵管理（かぎかんり）","key management<br><b>Example</b>: 鍵管理の手順を整備する。 / かぎかんりのてじゅんをせいびする。 / Establish key-management procedures.","鍵管理","かぎかんり","key management","鍵管理の手順を整備する。","かぎかんりのてじゅんをせいびする。","Establish key-management procedures."
"監査（かんさ）","audit<br><b>Example</b>: 監査ログを残す。 / かんさろぐをのこす。 / Keep audit logs.","監査","かんさ","audit","監査ログを残す。","かんさろぐをのこす。","Keep audit logs."
"監査ログ（かんさろぐ）","audit log<br><b>Example</b>: 監査ログを確認する。 / かんさろぐをかくにんする。 / Review audit logs.","監査ログ","かんさろぐ","audit log","監査ログを確認する。","かんさろぐをかくにんする。","Review audit logs."
"個人情報（こじんじょうほう）","personal information<br><b>Example</b>: 個人情報は保存しない。 / こじんじょうほうはほぞんしない。 / Don’t store personal data.","個人情報","こじんじょうほう","personal information","個人情報は保存しない。","こじんじょうほうはほぞんしない。","Don’t store personal data."
"機微情報（きびじょうほう）","sensitive information<br><b>Example</b>: 機微情報をマスキングする。 / きびじょうほうをますきんぐする。 / Mask sensitive info.","機微情報","きびじょうほう","sensitive information","機微情報をマスキングする。","きびじょうほうをますきんぐする。","Mask sensitive info."
"匿名化（とくめいか）","anonymization<br><b>Example</b>: データを匿名化する。 / でーたをとくめいかする。 / Anonymize the data.","匿名化","とくめいか","anonymization","データを匿名化する。","でーたをとくめいかする。","Anonymize the data."
"仮名化（かなか）","pseudonymization<br><b>Example</b>: IDを仮名化する。 / あいでぃーをかなかする。 / Pseudonymize IDs.","仮名化","かなか","pseudonymization","IDを仮名化する。","あいでぃーをかなかする。","Pseudonymize IDs."
"マスキング（ますきんぐ）","masking / redaction<br><b>Example</b>: ログをマスキングする。 / ろぐをますきんぐする。 / Redact logs.","マスキング","ますきんぐ","masking / redaction","ログをマスキングする。","ろぐをますきんぐする。","Redact logs."
"データ保持（でーたほじ）","data retention<br><b>Example</b>: データ保持期間を決める。 / でーたほじきかんをきめる。 / Set retention period.","データ保持","でーたほじ","data retention","データ保持期間を決める。","でーたほじきかんをきめる。","Set retention period."
"削除（さくじょ）","deletion<br><b>Example</b>: 要求があれば削除する。 / ようきゅうがあればさくじょする。 / Delete upon request.","削除","さくじょ","deletion","要求があれば削除する。","ようきゅうがあればさくじょする。","Delete upon request."
"同意（どうい）","consent<br><b>Example</b>: 利用者の同意を取る。 / りようしゃのどういをとる。 / Obtain user consent.","同意","どうい","consent","利用者の同意を取る。","りようしゃのどういをとる。","Obtain user consent."
"目的外利用（もくてきがいりよう）","use beyond stated purpose<br><b>Example</b>: 目的外利用を禁止する。 / もくてきがいりようをきんしする。 / Prohibit use beyond stated purpose.","目的外利用","もくてきがいりよう","use beyond stated purpose","目的外利用を禁止する。","もくてきがいりようをきんしする。","Prohibit use beyond stated purpose."
"インシデント（いんしでんと）","incident<br><b>Example</b>: インシデントを報告する。 / いんしでんとをほうこくする。 / Report an incident.","インシデント","いんしでんと","incident","インシデントを報告する。","いんしでんとをほうこくする。","Report an incident."
"対策（たいさく）","mitigation / countermeasure<br><b>Example</b>: 対策を実施する。 / たいさくをじっしする。 / Implement mitigations.","対策","たいさく","mitigation / countermeasure","対策を実施する。","たいさくをじっしする。","Implement mitigations."
