"Front","Back","Japanese","Hiragana","English","Example_JP","Example_Hiragana","Example_EN"
"機械学習（きかいがくしゅう）","machine learning<br><b>Example</b>: 機械学習モデルを作る。 / きかいがくしゅうもでるをつくる。 / Build an ML model.","機械学習","きかいがくしゅう","machine learning","機械学習モデルを作る。","きかいがくしゅうもでるをつくる。","Build an ML model."
"モデル（もでる）","model<br><b>Example</b>: モデルを更新する。 / もでるをこうしんする。 / Update the model.","モデル","もでる","model","モデルを更新する。","もでるをこうしんする。","Update the model."
"学習（がくしゅう）","training/learning<br><b>Example</b>: データで学習する。 / でーたでがくしゅうする。 / Train on data.","学習","がくしゅう","training/learning","データで学習する。","でーたでがくしゅうする。","Train on data."
"推論（すいろん）","inference<br><b>Example</b>: 推論はAPIで提供する。 / すいろんはえーぴーあいでていきょうする。 / Serve inference via an API.","推論","すいろん","inference","推論はAPIで提供する。","すいろんはえーぴーあいでていきょうする。","Serve inference via an API."
"予測（よそく）","prediction<br><b>Example</b>: 次の値を予測する。 / つぎのあたいをよそくする。 / Predict the next value.","予測","よそく","prediction","次の値を予測する。","つぎのあたいをよそくする。","Predict the next value."
"特徴量（とくちょうりょう）","feature<br><b>Example</b>: 特徴量を追加する。 / とくちょうりょうをついかする。 / Add a feature.","特徴量","とくちょうりょう","feature","特徴量を追加する。","とくちょうりょうをついかする。","Add a feature."
"ラベル（らべる）","label<br><b>Example</b>: ラベルの品質を確認する。 / らべるのひんしつをかくにんする。 / Check label quality.","ラベル","らべる","label","ラベルの品質を確認する。","らべるのひんしつをかくにんする。","Check label quality."
"教師あり学習（きょうしありがくしゅう）","supervised learning<br><b>Example</b>: 教師あり学習で分類する。 / きょうしありがくしゅうでぶんるいする。 / Classify with supervised learning.","教師あり学習","きょうしありがくしゅう","supervised learning","教師あり学習で分類する。","きょうしありがくしゅうでぶんるいする。","Classify with supervised learning."
"教師なし学習（きょうしなしがくしゅう）","unsupervised learning<br><b>Example</b>: 教師なし学習でクラスタリングする。 / きょうしなしがくしゅうでくらすたりんぐする。 / Cluster with unsupervised learning.","教師なし学習","きょうしなしがくしゅう","unsupervised learning","教師なし学習でクラスタリングする。","きょうしなしがくしゅうでくらすたりんぐする。","Cluster with unsupervised learning."
"強化学習（きょうかがくしゅう）","reinforcement learning<br><b>Example</b>: 強化学習で方策を改善する。 / きょうかがくしゅうでほうさくをかいぜんする。 / Improve a policy with RL.","強化学習","きょうかがくしゅう","reinforcement learning","強化学習で方策を改善する。","きょうかがくしゅうでほうさくをかいぜんする。","Improve a policy with RL."
"分類（ぶんるい）","classification<br><b>Example</b>: 画像を分類する。 / がぞうをぶんるいする。 / Classify images.","分類","ぶんるい","classification","画像を分類する。","がぞうをぶんるいする。","Classify images."
"回帰（かいき）","regression<br><b>Example</b>: 価格を回帰で推定する。 / かかくをかいきですいていする。 / Estimate price via regression.","回帰","かいき","regression","価格を回帰で推定する。","かかくをかいきですいていする。","Estimate price via regression."
"クラスタリング（くらすたりんぐ）","clustering<br><b>Example</b>: ユーザーをクラスタリングする。 / ゆーざーをくらすたりんぐする。 / Cluster users.","クラスタリング","くらすたりんぐ","clustering","ユーザーをクラスタリングする。","ゆーざーをくらすたりんぐする。","Cluster users."
"評価（ひょうか）","evaluation<br><b>Example</b>: 評価指標をそろえる。 / ひょうかしひょうをそろえる。 / Align evaluation metrics.","評価","ひょうか","evaluation","評価指標をそろえる。","ひょうかしひょうをそろえる。","Align evaluation metrics."
"精度（せいど）","accuracy (general)<br><b>Example</b>: 精度が改善した。 / せいどがかいぜんした。 / Accuracy improved.","精度","せいど","accuracy (general)","精度が改善した。","せいどがかいぜんした。","Accuracy improved."
"損失関数（そんしつかんすう）","loss function<br><b>Example</b>: 損失関数を最小化する。 / そんしつかんすうをさいしょうかする。 / Minimize the loss function.","損失関数","そんしつかんすう","loss function","損失関数を最小化する。","そんしつかんすうをさいしょうかする。","Minimize the loss function."
"最適化（さいてきか）","optimization<br><b>Example</b>: 最適化手法を変える。 / さいてきかしゅほうをかえる。 / Change the optimizer.","最適化","さいてきか","optimization","最適化手法を変える。","さいてきかしゅほうをかえる。","Change the optimizer."
"ハイパーパラメータ（はいぱーぱらめーた）","hyperparameter<br><b>Example</b>: ハイパーパラメータを調整する。 / はいぱーぱらめーたをちょうせいする。 / Tune hyperparameters.","ハイパーパラメータ","はいぱーぱらめーた","hyperparameter","ハイパーパラメータを調整する。","はいぱーぱらめーたをちょうせいする。","Tune hyperparameters."
"学習率（がくしゅうりつ）","learning rate<br><b>Example</b>: 学習率を下げる。 / がくしゅうりつをさげる。 / Lower the learning rate.","学習率","がくしゅうりつ","learning rate","学習率を下げる。","がくしゅうりつをさげる。","Lower the learning rate."
"収束（しゅうそく）","convergence<br><b>Example</b>: 学習が収束しない。 / がくしゅうがしゅうそくしない。 / Training won’t converge.","収束","しゅうそく","convergence","学習が収束しない。","がくしゅうがしゅうそくしない。","Training won’t converge."
