"Deck","Japanese","Example2_JP","Example2_Hiragana","Example2_EN","Example3_JP","Example3_Hiragana","Example3_EN"
"01_core_ml_concepts","機械学習","このたすくは機械学習でときます。","","We'll solve this task with machine learning.","機械学習のもでるをつくります。","","We'll build a machine-learning model."
"01_core_ml_concepts","モデル","このモデルをがくしゅうします。","","We'll train this model.","モデルをこうかんしてくらべます。","","We'll swap the model and compare."
"01_core_ml_concepts","学習","まず学習をはじめます。","","We'll start training first.","学習がおわったらひょうかします。","","After training we'll evaluate."
"01_core_ml_concepts","推論","ほんばんでは推論だけをうごかします。","","In production we'll run inference only.","推論のじかんをけいそくします。","","We'll measure inference latency."
"01_core_ml_concepts","予測","あしたのすうちを予測します。","","We'll predict tomorrow's value.","この予測ははずれました。","","This prediction was wrong."
"01_core_ml_concepts","特徴量","特徴量をついかします。","","We'll add a feature.","ふような特徴量はけずります。","","We'll drop unnecessary features."
"01_core_ml_concepts","ラベル","ラベルをみなおします。","","We'll review the labels.","ラベルのまちがいをなおします。","","We'll fix label mistakes."
"01_core_ml_concepts","教師あり学習","このでーたは教師あり学習であつかえます。","","We can handle this data with supervised learning.","教師あり学習にはらべるがひつようです。","","Supervised learning needs labels."
"01_core_ml_concepts","教師なし学習","教師なし学習でくらすたをつくります。","","We'll create clusters with unsupervised learning.","教師なし学習でぱたーんをさがします。","","We'll look for patterns with unsupervised learning."
"01_core_ml_concepts","強化学習","しみゅれーたで強化学習をためします。","","We'll try reinforcement learning in a simulator.","かんたんなかんきょうで強化学習をはじめます。","","We'll start reinforcement learning in a simple environment."
"01_core_ml_concepts","分類","にゅーすを分類します。","","We'll classify news articles.","ふたつのらべるに分類します。","","We'll classify into two labels."
"01_core_ml_concepts","回帰","これは回帰のもんだいなので、すうちをあてます。","","This is a regression problem, so we predict a number.","回帰もでるをひょうかします。","","We'll evaluate the regression model."
"01_core_ml_concepts","クラスタリング","クラスタリングでにたゆーざーをまとめます。","","We group similar users with clustering.","クラスタリングのけっかをかくにんします。","","We'll review the clustering results."
"01_core_ml_concepts","評価","まずは同じ条件で評価しよう。","","First, let's evaluate under the same conditions.","評価のけっかをれぽーとにまとめます。","","We'll summarize the evaluation results."
"01_core_ml_concepts","精度","精度がさがったりゆうをしらべます。","","We'll investigate why accuracy dropped.","精度だけでなくさいげんりつもみます。","","We'll check recall too not only accuracy."
"01_core_ml_concepts","損失関数","損失関数をへんこうします。","","We'll change the loss function.","損失関数がさがっているかみます。","","We'll check the loss is going down."
"01_core_ml_concepts","最適化","このもでるは最適化がまだたりません。","","This model still needs better optimization.","最適化のほうほうをかえます。","","We'll change the optimization method."
"01_core_ml_concepts","ハイパーパラメータ","こおーどをかえずにハイパーパラメータだけためします。","","We'll try changing only hyperparameters without touching code.","ハイパーパラメータをきろくします。","","We'll record the hyperparameters."
"01_core_ml_concepts","学習率","学習率をさげます。","","We'll lower the learning rate.","学習率をだんだんさげます。","","We'll decay the learning rate gradually."
"01_core_ml_concepts","収束","このもでるはまだ収束していません。","","The model hasn't converged yet.","収束をはやめるためにがくしゅうりつをみなおします。","","We'll revisit the learning rate to speed up convergence."

"02_deep_learning_nn","深層学習","深層学習でがぞうをあつかいます。","","We use deep learning for images.","深層学習のもでるをさいしゅうてきにひょうかします。","","We'll evaluate the deep learning model at the end."
"02_deep_learning_nn","ニューラルネットワーク","ニューラルネットワークをくみます。","","We'll build a neural network.","ニューラルネットワークのそうをふやします。","","We'll add more layers to the network."
"02_deep_learning_nn","層","層をひとつついかします。","","We'll add one layer.","層のかずをかえてためします。","","We'll try changing the number of layers."
"02_deep_learning_nn","パラメータ","パラメータをこうしんします。","","We'll update the parameters.","パラメータをほぞんしてさいげんします。","","We'll save parameters to reproduce."
"02_deep_learning_nn","重み","重みがかわりすぎています。","","The weights are changing too much.","重みをしょきかします。","","We'll initialize the weights."
"02_deep_learning_nn","バイアス","バイアスがあるとしきいちがずれます。","","A bias term shifts the threshold.","バイアスをぜろでしょきかします。","","We'll initialize the bias to zero."
"02_deep_learning_nn","活性化関数","かくそうの活性化関数をれびゅーします。","","We'll review the activation function in each layer.","活性化関数をかえてくらべます。","","We'll compare different activations."
"02_deep_learning_nn","勾配","勾配がちいさくなっています。","","The gradient is getting small.","勾配をくりっぷします。","","We'll clip the gradients."
"02_deep_learning_nn","勾配降下法","勾配降下法でちょっとずつそんしつをさげます。","","With gradient descent, we lower the loss little by little.","勾配降下法のすてっぷをちょうせいします。","","We'll adjust the step size for gradient descent."
"02_deep_learning_nn","ミニバッチ","めもりがきついのでミニバッチをちいさくします。","","Memory is tight, so we use smaller mini-batches.","ミニバッチのさいずをかえます。","","We'll change the mini-batch size."
"02_deep_learning_nn","エポック","エポックを10までまわします。","","We'll run 10 epochs.","エポックごとにひょうかします。","","We'll evaluate every epoch."
"02_deep_learning_nn","正則化","正則化をいれてあんていさせます。","","We'll add regularization to stabilize.","正則化のつよさをちょうせいします。","","We'll tune regularization strength."
"02_deep_learning_nn","ドロップアウト","かじゅうがくしゅうたいさくにドロップアウトをつかいます。","","We use dropout to fight overfitting.","ドロップアウトりつをかえます。","","We'll change the dropout rate."
"02_deep_learning_nn","バッチ正規化","バッチ正規化をそうにいれます。","","We'll add batch normalization.","バッチ正規化のいちをかえます。","","We'll change where batch norm is applied."
"02_deep_learning_nn","過学習","てすとで過学習がみえます。","","We can see overfitting on the test set.","過学習をさけるためにそうきしゅうりょうをつかいます。","","We'll use early stopping to avoid overfitting."
"02_deep_learning_nn","汎化","汎化せいのうをかくにんします。","","We'll check generalization.","汎化をあげるためにでーたをふやします。","","We'll add more data to improve generalization."
"02_deep_learning_nn","事前学習","まず事前学習をします。","","We'll do pretraining first.","事前学習ずみのもでるをつかいます。","","We'll use a pretrained model."
"02_deep_learning_nn","微調整","微調整でせいのうをあげます。","","Fine-tuning improves performance.","微調整のれーとをさげます。","","We'll lower the fine-tuning rate."
"02_deep_learning_nn","転移学習","転移学習ででーたがすくなくてもまなびます。","","Transfer learning helps with little data.","転移学習のもとになるもでるをえらびます。","","We'll choose a source model for transfer learning."
"02_deep_learning_nn","早期終了","ばりでーしょんがあがらなければ早期終了します。","","If validation doesn't improve, we stop early.","早期終了のたいみんぐをちょうせいします。","","We'll tune when early stopping triggers."

"03_nlp_llm","自然言語処理","自然言語処理でこめんとのかんじょうをよみとります。","","We use NLP to read sentiment in comments.","自然言語処理でいみをとります。","","We extract meaning with NLP."
"03_nlp_llm","トークン","トークンすうをへらします。","","We'll reduce the token count.","トークンすうをかぞえます。","","We'll count tokens."
"03_nlp_llm","トークナイザ","トークナイザをかえてためします。","","We'll try a different tokenizer.","トークナイザのしょりをはやくします。","","We'll speed up tokenization."
"03_nlp_llm","語彙","語彙をふやしておぼえます。","","We'll expand our vocabulary.","このたすくの語彙をそろえます。","","We'll align the vocabulary for this task."
"03_nlp_llm","埋め込み","埋め込みをつかってにたものをさがします。","","We'll use embeddings to find similar items.","埋め込みをほぞんしてさいりようします。","","We'll store embeddings and reuse them."
"03_nlp_llm","ベクトル","ベクトルにしてくらべます。","","We'll convert to vectors and compare.","ベクトルのながさをそろえます。","","We'll normalize vector length."
"03_nlp_llm","類似度","このふたつのぶんしょうの類似度をくらべます。","","We compare the similarity of these two texts.","類似度のけいさんほうほうをかえます。","","We'll change how we compute similarity."
"03_nlp_llm","ベクトル検索","きーわーどなしでベクトル検索してみます。","","We try vector search without keywords.","ベクトル検索のしきいちをちょうせいします。","","We'll tune the vector-search threshold."
"03_nlp_llm","検索拡張生成","検索拡張生成でこんきょつきのこたえをつくります。","","We'll generate answers with evidence using RAG.","検索拡張生成のそーすをふやします。","","We'll add more sources for RAG."
"03_nlp_llm","プロンプト","プロンプトをみなおしてしつをあげます。","","We'll revise the prompt to improve quality.","プロンプトをかえてけっかをくらべます。","","We'll compare results with different prompts."
"03_nlp_llm","指示","指示がながいとまちがえます。","","Long instructions can cause mistakes.","かんたんな指示にします。","","We'll keep the instruction simple."
"03_nlp_llm","文脈","文脈がないといみがかわります。","","Without context the meaning changes.","文脈をたすためにれきしをつけます。","","We'll add history to provide context."
"03_nlp_llm","生成","生成のすぴーどをはかります。","","We'll measure generation speed.","生成のしつをひょうかします。","","We'll evaluate generation quality."
"03_nlp_llm","出力","きろくのために出力をふぁいるにほぞんします。","","We save the output to a file for records.","この出力をかくにんします。","","We'll check this output."
"03_nlp_llm","幻覚","このもでるは幻覚することがあります。","","This model can hallucinate.","幻覚をへらすためにこんきょをつけます。","","We'll add grounding to reduce hallucinations."
"03_nlp_llm","根拠","このしゅちょうの根拠をしめしてください。","","Please show evidence for this claim.","根拠がないこたえはだしません。","","We won't give answers without evidence."
"03_nlp_llm","要約","ながいめーるを1ぎょうで要約してください。","","Please summarize the long email in one line.","要約をみじかくします。","","We'll make the summary shorter."
"03_nlp_llm","翻訳","このぶんをえいごに翻訳します。","","We'll translate this sentence into English.","翻訳のしつをくらべます。","","We'll compare translation quality."
"03_nlp_llm","意図","まずしつもんの意図をきいてからこたえます。","","We ask the intent first, then answer.","意図がちがうとけっかがかわります。","","If the intent differs the result changes."
"03_nlp_llm","評価データ","しんきのけーすをたして評価データをふやします。","","We add new cases to expand the evaluation data.","評価データでさいげんせいをかくにんします。","","We'll check reproducibility with evaluation data."

"04_metrics_validation","検証","検証のためにてすとをします。","","We'll run tests for validation.","検証のけっかをきろくします。","","We'll record the validation results."
"04_metrics_validation","交差検証","交差検証でぶれをみます。","","We'll use cross-validation to see variance.","交差検証を5ぶんかつでまわします。","","We'll run 5-fold cross-validation."
"04_metrics_validation","ベンチマーク","ベンチマークでせいのうをくらべます。","","We'll compare performance with a benchmark.","ベンチマークのじょうけんをそろえます。","","We'll keep benchmark conditions consistent."
"04_metrics_validation","指標","もくひょうにあう指標をえらびます。","","We choose a metric that matches the goal.","指標はひとつだけにしません。","","We won't rely on a single metric."
"04_metrics_validation","適合率","適合率をあげたいです。","","We want higher precision.","適合率とさいげんりつのばらんすをとります。","","We'll balance precision and recall."
"04_metrics_validation","再現率","再現率をあげるとごけんしゅつもふえます。","","Higher recall can increase false positives.","再現率をちょうせいします。","","We'll tune recall."
"04_metrics_validation","F1スコア","F1スコアでばらんすをみます。","","We'll use F1 score to see the balance.","F1スコアがいちばんたかいしきいちをえらびます。","","We'll pick the threshold with the best F1."
"04_metrics_validation","混同行列","混同行列でまちがいのぱたーんをみます。","","We'll use a confusion matrix to see error patterns.","混同行列をれぽーとにのせます。","","We'll include the confusion matrix in the report."
"04_metrics_validation","誤差","誤差のへんかをみます。","","We'll watch how the error changes.","誤差がちいさいほどよいです。","","Smaller error is better."
"04_metrics_validation","ばらつき","ばらつきがおおきいとふあんていです。","","Large variance means instability.","ばらつきをへらすためにでーたをふやします。","","We'll add more data to reduce variance."
"04_metrics_validation","信頼区間","信頼区間をだしてせつめいします。","","We'll present a confidence interval.","信頼区間がひろいとふあんです。","","A wide confidence interval is concerning."
"04_metrics_validation","閾値","えらーをへらすために閾値をあげます。","","We raise the threshold to reduce errors.","閾値をかえるとてきごうりつがかわります。","","Changing the threshold changes precision."
"04_metrics_validation","データ漏洩","てすとのじょうほうがまざるとデータ漏洩です。","","If test info leaks in, that's data leakage.","データ漏洩があるとひょうかがうそになります。","","With data leakage the evaluation is misleading."
"04_metrics_validation","再現性","再現性をたかめたいです。","","We want better reproducibility.","再現性のためにしーどをきろくします。","","We record seeds for reproducibility."

"05_data_experimentation","データ","このデータはぬけもれがないですか？","","Is this data missing anything?","データのしつをかくにんします。","","We'll check data quality."
"05_data_experimentation","データセット","きょうはしんきのデータセットをついかします。","","Today we add a new dataset.","データセットをこうかいしません。","","We won't publish the dataset."
"05_data_experimentation","前処理","前処理でけっそんちをうめます。","","We fill missing values in preprocessing.","前処理のすてっぷをきろくします。","","We'll document preprocessing steps."
"05_data_experimentation","正規化","がくしゅうをあんていさせるために正規化します。","","We normalize to stabilize training.","正規化をするまえとあとでくらべます。","","We'll compare before and after normalization."
"05_data_experimentation","欠損","欠損があるれつをみつけます。","","We'll find columns with missing values.","欠損はうめるかけずります。","","We'll impute or drop missing values."
"05_data_experimentation","外れ値","外れ値をけんしゅつします。","","We'll detect outliers.","外れ値をのぞいてひょうかします。","","We'll evaluate without outliers."
"05_data_experimentation","サンプリング","らんだむにサンプリングしてちぇっくします。","","We check using a random sample.","サンプリングのわりあいをかえます。","","We'll change the sampling ratio."
"05_data_experimentation","分布","がくしゅうとてすとで分布がちがいます。","","Train and test distributions differ.","分布がずれていないかみます。","","We'll see if the distribution shifted."
"05_data_experimentation","データドリフト","まいしゅうデータドリフトをちぇっくします。","","We check for data drift weekly.","データドリフトがあるとせいのうがさがります。","","Data drift can reduce performance."
"05_data_experimentation","特徴量エンジニアリング","どんな特徴量エンジニアリングがききそうですか？","","What feature engineering might help?","特徴量エンジニアリングのあいであをだします。","","We'll propose feature-engineering ideas."
"05_data_experimentation","実験","実験のじょうけんをそろえます。","","We'll keep experiment conditions consistent.","実験のけっかをきろくします。","","We'll record experiment results."
"05_data_experimentation","A/Bテスト","A/Bテストをまわします。","","We'll run an A/B test.","A/Bテストのきかんをきめます。","","We'll decide the A/B test duration."
"05_data_experimentation","対照群","対照群をのこしてこうかをくらべます。","","We keep a control group and compare impact.","対照群とくらべます。","","We'll compare against the control."
"05_data_experimentation","変数","変数をふやすとふくざつになります。","","More variables increase complexity.","変数をていぎします。","","We'll define the variables."
"05_data_experimentation","乱数シード","さいげんせいのために乱数シードをそろえます。","","We align the random seed for reproducibility.","乱数シードをきろくしてさいげんします。","","We'll record the random seed to reproduce."

"06_mlops_systems","運用","運用ちゅうもめとりくすをちぇっくします。","","During operations, we keep checking metrics.","運用のてじゅんをきろくします。","","We'll document the ops procedure."
"06_mlops_systems","本番","本番のとらふぃっくでさいごにかくにんします。","","We confirm at the end with production traffic.","本番のえいきょうをみます。","","We'll watch production impact."
"06_mlops_systems","検証環境","まず検証環境でりすくなしにためします。","","We test safely in staging first.","検証環境とほんばんをそろえます。","","We'll align staging and production."
"06_mlops_systems","デプロイ","デプロイをじどうかします。","","We'll automate deployments.","デプロイのあとにけんしょうします。","","We'll verify after deploy."
"06_mlops_systems","ロールバック","まちがえたらすぐロールバックできるようにします。","","We make sure we can roll back quickly if needed.","ロールバックのてじゅんをよういします。","","We'll prepare a rollback procedure."
"06_mlops_systems","監視","監視であらーとをうけとります。","","Monitoring triggers alerts.","監視のしきいちをちょうせいします。","","We'll tune monitoring thresholds."
"06_mlops_systems","アラート","アラートがなったらたいおうします。","","We'll respond when an alert fires.","アラートののいずをへらします。","","We'll reduce alert noise."
"06_mlops_systems","ログ","ログをみてげんいんをさがします。","","We'll check logs to find the cause.","ログをほぞんしてさいげんします。","","We'll keep logs for reproduction."
"06_mlops_systems","障害","障害のあとにふりかえりをします。","","After an incident, we do a retrospective.","障害のえいきょうはんいをかくにんします。","","We'll confirm the outage blast radius."
"06_mlops_systems","対応","対応のゆうせんどをきめます。","","We'll prioritize the response.","対応がしゅうりょうしたらふりかえります。","","After the response we'll do a retrospective."
"06_mlops_systems","影響範囲","まず影響範囲をゆーざーべつにしらべます。","","First, we check the impact scope by user segment.","影響範囲をきろくします。","","We'll document the blast radius."
"06_mlops_systems","再現","ろーかるで再現できるまでちょうさします。","","We investigate until we can reproduce locally.","再現のすてっぷをのこします。","","We'll write down repro steps."
"06_mlops_systems","切り分け","切り分けでげんいんをしぼります。","","Triage narrows down the cause.","切り分けのけっかをきょうゆうします。","","We'll share the triage results."
"06_mlops_systems","GPU","きょうはGPUをよやくできませんでした。","","We couldn't reserve a GPU today.","GPUをわりあてます。","","We'll allocate GPUs."
"06_mlops_systems","API","このAPIはれいてんしがたいせつです。","","Latency is important for this API.","APIのれいてんしをはかります。","","We'll measure API latency."

"07_project_communication","要件","ようけんのぬけをさがしてしつもんします。","","We ask questions to find missing requirements.","要件をぶんしょかします。","","We'll document the requirements."
"07_project_communication","仕様","しようをどきゅめんとにまとめます。","","We compile the spec into a document.","仕様のへんこうをきろくします。","","We'll record spec changes."
"07_project_communication","スコープ","すこーぷがひろがりそうならそうだんします。","","We discuss if scope might expand.","スコープがひろがらないようにします。","","We'll prevent scope creep."
"07_project_communication","期限","期限をまもります。","","We'll meet the deadline.","期限までにおわるかかくにんします。","","We'll check if we can finish by the deadline."
"07_project_communication","優先度","じかんがないので優先度をみなおします。","","Time is tight, so we revisit priorities.","優先度がたかいものからやります。","","We'll start with the highest priority."
"07_project_communication","見積もり","もうすこしくわしく見積もりをだします。","","I'll provide a more detailed estimate.","見積もりをみなおします。","","We'll revisit the estimate."
"07_project_communication","進捗","きょうの進捗をちゃっとでほうこくします。","","I'll report today's progress in chat.","進捗がおくれています。","","Progress is behind."
"07_project_communication","課題","課題をりすとあっぷします。","","We'll list the issues.","課題のたいおうほうほうをきめます。","","We'll decide how to address the issue."
"07_project_communication","方針","この方針ですすめていいですか？","","Is it okay to proceed with this approach?","方針をぶれずにすすめます。","","We'll proceed consistently with the approach."
"07_project_communication","合意","ぜんいんの合意がとれたらすすみます。","","We'll proceed once everyone agrees.","合意できたらすすめます。","","Once we agree we'll move forward."

"08_cv_vision","画像処理","がぞうのまえしょりとして画像処理をいれます。","","We add image processing as preprocessing.","画像処理のぱいぷらいんをくみます。","","We'll build an image-processing pipeline."
"08_cv_vision","画像認識","画像認識でしゃしんのしーんをはんべつします。","","We use image recognition to identify the scene.","画像認識のせいどをひょうかします。","","We'll evaluate image-recognition accuracy."
"08_cv_vision","物体検出","くるまを物体検出でみつけます。","","We detect cars with object detection.","物体検出のしきいちをちょうせいします。","","We'll tune the detection threshold."
"08_cv_vision","セグメンテーション","セグメンテーションでりょういきをぬりわけます。","","Segmentation separates regions.","セグメンテーションのまくすくをかくにんします。","","We'll check the segmentation mask."
"08_cv_vision","インスタンス分割","ひとをいちにんずつインスタンス分割します。","","We instance-segment each person.","インスタンス分割のけっかをかくにんします。","","We'll review the instance-segmentation results."
"08_cv_vision","画像分類","画像分類でかてごりをえらびます。","","Image classification chooses a category.","画像分類のくらすをふやします。","","We'll increase classes for image classification."
"08_cv_vision","アノテーション","アノテーションのるーるをそろえます。","","We standardize the annotation guidelines.","アノテーションのしつをかくにんします。","","We'll check annotation quality."
"08_cv_vision","バウンディングボックス","バウンディングボックスをすこしひろげてかきます。","","We draw slightly larger bounding boxes.","バウンディングボックスがずれていないかみます。","","We'll check bounding boxes aren't shifted."
"08_cv_vision","IoU","IoUが0.5いじょうかかくにんします。","","We confirm IoU is at least 0.5.","IoUがひくいりゆうをしらべます。","","We'll investigate low IoU."
"08_cv_vision","mAP","mAPがあがったのでりりーすします。","","mAP improved, so we’ll release.","mAPをあげるためにでーたをふやします。","","We'll add more data to improve mAP."
"08_cv_vision","誤検出","誤検出がでるけーすをしらべます。","","We investigate cases that cause false positives.","誤検出をへらすためにしきいちをあげます。","","We'll raise the threshold to reduce false positives."
"08_cv_vision","検出漏れ","検出漏れがあるかみます。","","We'll check for missed detections.","検出漏れをへらすためにでーたをふやします。","","We'll add more data to reduce missed detections."
"08_cv_vision","データ拡張","でーたがすくないのでデータ拡張をつよめます。","","Since data is limited, we increase data augmentation.","データ拡張をやりすぎないようにします。","","We'll avoid overdoing augmentation."
"08_cv_vision","回転","がぞうをすこしだけ回転します。","","We rotate the image slightly.","回転のかくどをかえます。","","We'll change the rotation angle."
"08_cv_vision","反転","みぎひだりを反転してためします。","","We try a left-right flip.","反転がゆうこうかかくにんします。","","We'll check if flipping helps."
"08_cv_vision","切り出し","ひとをちゅうしんに切り出しします。","","We crop around the person.","切り出しのさいずをちょうせいします。","","We'll tune the crop size."
"08_cv_vision","解像度","解像度をさげるとすぴーどがあがります。","","Lower resolution speeds things up.","解像度をそろえます。","","We'll make the resolution consistent."
"08_cv_vision","リサイズ","にゅうりょくを224にリサイズします。","","We resize inputs to 224.","リサイズのほうほうをかえます。","","We'll change the resize method."
"08_cv_vision","ノイズ","せんさーのノイズがまざっています。","","Sensor noise is mixed in.","ノイズをへらすふぃるたをかけます。","","We'll apply a filter to reduce noise."
"08_cv_vision","ぼかし","ぼかしでのいずをへらします。","","Blur can reduce noise.","ぼかしのつよさをちょうせいします。","","We'll tune the blur strength."
"08_cv_vision","レンズ歪み","このかめらはレンズ歪みがおおいです。","","This camera has a lot of lens distortion.","レンズ歪みがあるがぞうをのぞきます。","","We'll filter out images with lens distortion."
"08_cv_vision","キャリブレーション","かめらのキャリブレーションをやりなおします。","","We redo camera calibration.","キャリブレーションのぱらめーたをほぞんします。","","We'll save calibration parameters."
